"train/global_step","qwen3vl_sft_full_bs64_es50_p4 - _step","qwen3vl_sft_full_bs64_es50_p4 - _step__MIN","qwen3vl_sft_full_bs64_es50_p4 - _step__MAX","qwen3vl_sft_full_bs64_es50_p4 - train/epoch","qwen3vl_sft_full_bs64_es50_p4 - train/epoch__MIN","qwen3vl_sft_full_bs64_es50_p4 - train/epoch__MAX"
"20","0","0","0","0.06451612903225806","0.06451612903225806","0.06451612903225806"
"40","1","1","1","0.12903225806451613","0.12903225806451613","0.12903225806451613"
"50","2","2","2","0.16129032258064516","0.16129032258064516","0.16129032258064516"
"60","3","3","3","0.1935483870967742","0.1935483870967742","0.1935483870967742"
"80","4","4","4","0.25806451612903225","0.25806451612903225","0.25806451612903225"
"100","5.5","5","6","0.3225806451612903","0.3225806451612903","0.3225806451612903"
"120","7","7","7","0.3870967741935484","0.3870967741935484","0.3870967741935484"
"140","8","8","8","0.45161290322580644","0.45161290322580644","0.45161290322580644"
"150","9","9","9","0.4838709677419355","0.4838709677419355","0.4838709677419355"
"160","10","10","10","0.5161290322580645","0.5161290322580645","0.5161290322580645"
"180","11","11","11","0.5806451612903226","0.5806451612903226","0.5806451612903226"
"200","12.5","12","13","0.6451612903225806","0.6451612903225806","0.6451612903225806"
"220","14","14","14","0.7096774193548387","0.7096774193548387","0.7096774193548387"
"240","15","15","15","0.7741935483870968","0.7741935483870968","0.7741935483870968"
"250","16","16","16","0.8064516129032258","0.8064516129032258","0.8064516129032258"
"260","17","17","17","0.8387096774193549","0.8387096774193549","0.8387096774193549"
"280","18","18","18","0.9032258064516129","0.9032258064516129","0.9032258064516129"
"300","19.5","19","20","0.967741935483871","0.967741935483871","0.967741935483871"
"320","21","21","21","1.032258064516129","1.032258064516129","1.032258064516129"
"340","22","22","22","1.096774193548387","1.096774193548387","1.096774193548387"
"350","23","23","23","1.129032258064516","1.129032258064516","1.129032258064516"
"360","24","24","24","1.1612903225806452","1.1612903225806452","1.1612903225806452"
"380","25","25","25","1.2258064516129032","1.2258064516129032","1.2258064516129032"
"400","26.5","26","27","1.2903225806451613","1.2903225806451613","1.2903225806451613"
"420","28","28","28","1.3548387096774195","1.3548387096774195","1.3548387096774195"
"440","29","29","29","1.4193548387096775","1.4193548387096775","1.4193548387096775"
"450","30","30","30","1.4516129032258065","1.4516129032258065","1.4516129032258065"
"460","31","31","31","1.4838709677419355","1.4838709677419355","1.4838709677419355"
"480","32","32","32","1.5483870967741935","1.5483870967741935","1.5483870967741935"
"500","33.5","33","34","1.6129032258064515","1.6129032258064515","1.6129032258064515"
"520","35","35","35","1.6774193548387095","1.6774193548387095","1.6774193548387095"
"540","36","36","36","1.7419354838709677","1.7419354838709677","1.7419354838709677"
"550","37","37","37","1.7741935483870968","1.7741935483870968","1.7741935483870968"
"560","38","38","38","1.8064516129032258","1.8064516129032258","1.8064516129032258"
"580","39","39","39","1.870967741935484","1.870967741935484","1.870967741935484"