"train/global_step","qwen3vl_sft_full_bs64_es50_p4 - _step","qwen3vl_sft_full_bs64_es50_p4 - _step__MIN","qwen3vl_sft_full_bs64_es50_p4 - _step__MAX","qwen3vl_sft_full_bs64_es50_p4 - train/grad_norm","qwen3vl_sft_full_bs64_es50_p4 - train/grad_norm__MIN","qwen3vl_sft_full_bs64_es50_p4 - train/grad_norm__MAX"
"20","0","0","0","5.639332294464111","5.639332294464111","5.639332294464111"
"40","1","1","1","3.8609702587127686","3.8609702587127686","3.8609702587127686"
"60","3","3","3","1.0979983806610107","1.0979983806610107","1.0979983806610107"
"80","4","4","4","0.9782131910324097","0.9782131910324097","0.9782131910324097"
"100","5","5","5","0.805108368396759","0.805108368396759","0.805108368396759"
"120","7","7","7","0.7036198973655701","0.7036198973655701","0.7036198973655701"
"140","8","8","8","0.7318782806396484","0.7318782806396484","0.7318782806396484"
"160","10","10","10","0.8109821081161499","0.8109821081161499","0.8109821081161499"
"180","11","11","11","0.6833620667457581","0.6833620667457581","0.6833620667457581"
"200","12","12","12","0.6645277142524719","0.6645277142524719","0.6645277142524719"
"220","14","14","14","0.7889823913574219","0.7889823913574219","0.7889823913574219"
"240","15","15","15","0.6276777386665344","0.6276777386665344","0.6276777386665344"
"260","17","17","17","0.67637038230896","0.67637038230896","0.67637038230896"
"280","18","18","18","0.5917677879333496","0.5917677879333496","0.5917677879333496"
"300","19","19","19","0.6572967171669006","0.6572967171669006","0.6572967171669006"
"320","21","21","21","0.7021698951721191","0.7021698951721191","0.7021698951721191"
"340","22","22","22","0.5968532562255859","0.5968532562255859","0.5968532562255859"
"360","24","24","24","0.5907847285270691","0.5907847285270691","0.5907847285270691"
"380","25","25","25","0.5937426686286926","0.5937426686286926","0.5937426686286926"
"400","26","26","26","0.5645737051963806","0.5645737051963806","0.5645737051963806"
"420","28","28","28","0.5954744815826416","0.5954744815826416","0.5954744815826416"
"440","29","29","29","0.6208977103233337","0.6208977103233337","0.6208977103233337"
"460","31","31","31","0.7361435294151306","0.7361435294151306","0.7361435294151306"
"480","32","32","32","0.5492268204689026","0.5492268204689026","0.5492268204689026"
"500","33","33","33","0.5617833137512207","0.5617833137512207","0.5617833137512207"
"520","35","35","35","0.6127194762229919","0.6127194762229919","0.6127194762229919"
"540","36","36","36","0.6606185436248779","0.6606185436248779","0.6606185436248779"
"560","38","38","38","0.547792375087738","0.547792375087738","0.547792375087738"
"580","39","39","39","0.5678179264068604","0.5678179264068604","0.5678179264068604"